1,And,Andromeda,안드로메다,에티오피아의 공주인 안드로메다는 카시오페이아와 세페우스 사이에서 태어났다. 카시오페이아는 허영심이 많은 왕비로 자신이 바다의 요정보다 예쁘다고 떠벌리고 다녀서 바다 요정들을 화나게 만들었다. 화가 난 바다 요정들은 바다의 신 포세이돈에게 카시오페이아를 혼내줄 것을 요청한다. 포세이돈은 괴물 고래를 보내 에티오피아를 황폐하게 만들었다. 세페우스 왕은 이 재앙을 해결하기 위해 그의 아름다운 딸 안드로메다를 제물로 바쳐야했다. 안드로메다는 괴물 고래에게 희생되려는 찰나에 페르세우스에게 구출되어 후에 페르세우스의 아내가 되었다.
2,Ant,Antlia,공기펌프,
3,Aps,Apus,극락조,
4,Aql,Aquila,물병,그리스 신화에 의하면 물병자리는 독수리에게 납치당해 신들에게 술을 따르는 일을 하게 된 트로이의 왕자 가니메데로 알려져 있다. 청춘의 여신 헤베가 신들을 위해 술을 따르는 일을 하고 있었는데 어느 날 발목을 삐어 그 일을 할 수 없게 되자 제우스는 독수리로 변하여 이다(Ida)산에서 트로이(Troy)의 양떼를 돌보고 있던 미소년 가니메데를 납치해 갔다. 불멸의 컵에 물을 넘쳐흐르도록 가득 채우고 있는 물병자리의 주인공은 바로 미소년 가니메데이다.
5,Aqr,Aquarius,독수리,"그리스 신화에서 독수리는 가니메데를 납치하기 위하여 제우스가 변한 모습이라고 전해지고 있다. 청춘의 여신 헤베가 신들을 위해 술을 따르는 일을 하지 못하게 되자 제우스는 그녀의 일을 대신할 아름다운 젊은이를 찾기 위해 독수리로 변해 지상으로 내려갔다. 제우스는 이다산에서 트로이의 양떼를 돌보고 있던 아름다운 왕자 가니메데를 발견하고 그를 납치해 간다. 그 후 가니메데는 올림푸스 산에서 신들을 위해 술을 따르는 일을 하게 되었다. 하늘의 독수리자리는 변신한 제우스의 모습인 것이다. 우리나라에서도 칠월 칠석의 전설이 내려오고 있다.(원래는 중국의 전설이다) 아버지인 천체의 명령으로 옷감을 짜고 있던 직녀라는 공주는 은하수 서쪽에 살고 있었다. 그런데 강 건너에 사는 소치는 견우와 서로 사랑하게 되어 결혼하였다. 그러나 결혼한 뒤 그들은 자신의 일들은 뒤로 한 채 둘만의 시간을 보냈다. 몇 번의 주의를 주었으나 그들이 계속 일을 게을리 하였고, 천제는 매우 화가 났다. 그리하여 직녀와 견우를 불러 은하수의 양쪽에 갈라놓고, 1년에 한번만 만나도록 허락해 주었다. 그날이 바로 음력 7월7일이다. 그러나 은하수 땜에 서로 만날 수 없어 그들이 흘리는 눈물로 지상에 비가 내렸다. 이를 불쌍히 여긴 까치들이 다리를 놓아 서로 만날 수 있게 되었고, 더 이상 그들은 눈물을 흘리지 않게 되었다."
6,Ara,Ara,제단,
7,Ari,Aries,양,
8,Aur,Auriga,마차부,
9,Boo,Bootes,목동,
10,Cae,Caelum,조각칼,
11,Cam,Camelopardalis,기린,
12,Cnc,Cancer,게,
13,CVn,Canes Venatici,사냥개,
14,CMa,Canis Major,큰개,
15,CMi,Canis Minor,작은개,
16,Cap,Capricornus,염소,
17,Car,Carina,용골,
18,Cas,Cassiopeia,카시오페이아,
19,Cen,Centaurus,센타우루스,
20,Cep,Cepheus,세페우스,
21,Cet,Cetus,고래,
22,Cha,Chamaeleon,카멜레온,
23,Cir,Circinus,컴퍼스,
24,Col,Columba,비둘기,
25,Com,Coma Berenices,머리털,
26,CrA,Corona Australis,남쪽왕관,
27,CrB,Corona Borealis,북쪽왕관,
28,Crv,Corvus,까마귀,
29,Crt,Crater,컵,
30,Cru,Crux,남십자,
31,Cyg,Cygnus,백조,
32,Del,Delphinus,돌고래,
33,Dor,Dorado,황새치,
34,Dra,Draco,용,
35,Equ,Equuleus,조랑말,
36,Eri,Eridanus,에리다누스,
37,For,Fornax,화로,
38,Gem,Gemini,쌍둥이,
39,Gru,Grus,두루미,
40,Her,Hercules,헤라클레스,
41,Hor,Horologium,시계,
42,Hya,Hydra,바다뱀,
43,Hyi,Hydrus,물뱀,
44,Ind,Indus,인디언,
45,Lac,Lacerta,도마뱀,
46,Leo,Leo,사자,
47,LMi,Leo Minor,작은사자,
48,Lep,Lepus,토끼,
49,Lib,Libra,천칭,
50,Lup,Lupus,이리,
51,Lyn,Lynx,살쾡이,
52,Lyr,Lyra,거문고,
53,Men,Mensa,테이블산,
54,Mic,Microscopium,현미경,
55,Mon,Monoceros,외뿔소,
56,Mus,Muscaa,파리,
57,Nor,Norma,직각자,
58,Oct,Octans,팔분의,
59,Oph,Ophiuchus,뱀주인,
60,Ori,Orion,오리온,
61,Pav,Pavo,공작,
62,Peg,Pegasus,페가수스,
63,Per,Perseus,페르세우스,
64,Phe,Phoenix,불사조,
65,Pic,Pictor,화가,
66,Psc,Pisces,물고기,
67,PsA,Piscis Austrinus,남쪽물고기,
68,Pup,Puppis,고물,
69,Pyx,Pyxis,나침반,
70,Ret,Reticulum,그물,
71,Sge,Sagitta,화살,
72,Sgr,Sagittarius,궁수,
73,Sco,Scorpius,전갈,
74,Scl,Sculptor,조각가,
75,Sct,Scutum,방패,
76,Ser,Serpens,뱀,
77,Ser,Serpens,뱀,
78,Sex,Sextans,육분의,
79,Tau,Taurus,황소,
80,Tel,Telescopium,망원경,
81,Tri,Triangulum,삼각형,
82,TrA,Triangulum Australe,남쪽삼각형,
83,Tuc,Tucana,큰부리새,
84,UMa,Ursa Major,큰곰,
85,UMi,Ursa Minor,작은곰,
86,Vel,Vela,돛,
87,Vir,Virgo,처녀,
88,Vol,Volans,날치,
89,Vul,Vulpecula,여우,
